Case Number;Earthquake;Site;Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);g1(pcf);sg1 (pcf);g2 (pcf);sg2 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s MSF;CSRs'v,Mw;s CSR;CSRs'v=100kPa,Mw=7.5;s CSRN;D50 (mm) ;s D50;FC %;s FC %;Sampler (SS:standard sampler or SWL: sampler without liners);CS;Rod length;CR;Borehole diameter (mm);CB;"Energy Ratio (SH: Safety Hammer; DH:Donut Hammer or the percentage)";CE;Number of N values;N (mean);s N ;CN ;SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;Reference;V*s,40ft (fps);;K?;KMw;CSRMw=7.5,s'v=100kPA;N1,60,CS;;;;;;;
19;1968 Tokachioki M=7.9;Hachinohe-6;Yes;B;20.0;6.6;13.3;4.1;2.2;2.0;0.3;110;3;125;3;1632.5;281.3174146;927.38;144.6835251;0.986452406;0.987868569;0.06;0.23;0.07;8.30;0.19;0.25;0.08;0.33;0.13;0.25;0.05;5.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.65;1.09;5;4.65;0.48;1.51060718;1.46;6.8;0.7;Ohsaki (1970);710;;1.32;0.79;0.24;7.3;;;;;;;
20;1968 Tokachioki M=7.9;Nanaehama1-2-3;Yes;B;16.4;3.0;9.7;3.0;2.2;2.5;0.6;110;3;120;3;1139.207935;269.1162888;690.0716802;133.9986158;0.966495343;0.965612795;0.05;0.20;0.06;8.30;0.19;0.21;0.06;0.27;0.11;0.12;0.03;21.67;4.83;NA;1;Short Rod;0.84;99.00;1;0.70;1.17;4;5.55;0.87;1.751190146;1.73;9.6;1.5;Kishida (1970);560;;1.46;0.79;0.18;11.8;;;;;;;
21;1968 Tokachi-Oki M=7.9;Aomori Station;Yes;A;24.6;13.1;18.9;5.8;1.9;0.0;0.4;100;3;120;3;2263.779528;236.6328319;1086.614173;124.8005849;0.962205553;0.866418323;0.09;0.21;0.01;8.30;0.19;0.25;0.03;0.32;0.09;0.25;0.05;3.00;2.00;NA;1;Short Rod;0.94;99.00;1;0.73;1.22;3;9.00;0.87;1.395541399;1.60;14.4;1.4;Yasuda and Tohno (1988);520;;1.25;0.79;0.25;15.0;;;;;;;
22;1971 San Fernando Mw=6.6;Juvenile Hall;Yes;A;20.7;14.4;17.6;5.4;1.0;14.0;0.2;110;3;120;3;1966.299213;131.9959035;1744.623622;74.29999091;0.95097313;0.858961672;0.08;0.45;0.07;6.60;0.29;0.28;0.05;0.20;0.06;0.05;0.01;65.25;7.97;NA;1;Short Rod;0.90;99.00;1;0.68;1.13;5;3.30;0.89;1.101360592;1.13;3.7;1.0;Bennett (1989);540;;1.07;1.35;0.20;7.0;;;;;;;
23;1971 San Fernando Mw=6.6;Van Norman;Yes;A;24.0;17.0;20.5;6.2;1.2;16.3;0.9;110;3;120;3;2296.942257;149.0993234;2035.222572;96.15951604;0.805121042;0.899995062;0.09;0.45;0.07;6.60;0.29;0.30;0.06;0.21;0.06;0.07;0.03;59.30;14.21;NA;1;Short Rod;0.93;99.00;1;0.68;1.13;10;7.35;2.51;1.019704773;1.08;7.9;2.7;Bennett (1989);620;;1.01;1.35;0.22;11.5;;;;;;;
24;1975 Haicheng Ms=7.3;Panjin Ch. F. P.;Yes;B;41.0;11.5;26.2;8.0;4.9;5.0;0.3;110;3;120;3;3099.737533;594.178926;1773.12336;291.2308694;0.992001931;0.856820798;0.12;0.13;0.04;7.00;0.10;0.13;0.04;0.11;0.04;0.06;0.05;67.00;2.00;NA;1;Short Rod;1.00;99.00;1;0.50;0.83;7;8.10;1.21;1.092473551;0.91;7.4;1.1;Shengcong et al. (1983);610;;1.06;1.17;0.10;10.9;;;;;;;
25;1975 Haicheng Ms=7.3;Ying Kou G. F. P.;Yes;B;29.5;16.4;23.0;7.0;2.2;5.0;0.2;110;3;120;3;2706.036745;268.3766904;1584.146982;138.2565854;0.975042323;0.885198242;0.10;0.20;0.06;7.00;0.10;0.20;0.06;0.16;0.05;0.08;0.05;48.00;2.00;NA;1;Short Rod;0.98;99.00;1;0.60;1.00;3;12.40;0.97;1.155799947;1.13;14.0;1.1;Shengcong et al. (1983);610;;1.10;1.17;0.15;17.9;;;;;;;
26;1975 Haicheng Ms=7.3;Ying Kou P. P.;Yes;B;34.4;14.8;24.6;7.5;3.3;5.0;0.2;110;3;120;3;2902.887139;398.3621796;1678.635171;198.7712704;0.985910458;0.814161161;0.11;0.20;0.06;7.00;0.10;0.18;0.06;0.15;0.05;0.10;0.05;20.00;2.00;NA;1;Short Rod;0.99;99.00;1;0.60;1.00;6;10.30;3.24;1.122799597;1.11;11.4;3.6;Shengcong et al. (1983);560;;1.08;1.17;0.14;13.6;;;;;;;
27;1976 Guatemala M=7.5;Amatitlan B-1;Yes;C;50.0;10.0;30.0;9.1;6.7;5.0;0.3;60;1;90;1;2550;600.6088577;990;186.0120383;0.993215587;0.572250906;0.12;0.14;0.04;7.50;0.13;0.13;0.05;0.13;0.05;0.80;0.05;3.00;2.00;NA;1;Short Rod;1.00;99.00;1;0.45;0.75;8;4.30;1.37;1.462051969;1.10;4.7;1.5;Seed, et al.(1979);400;;1.29;1.00;0.10;5.2;;;;;;;
30;1976 Tangshan Ms=7.8;Coastal Region;Yes;B;19.7;9.8;14.8;4.5;1.6;3.6;0.4;110;3;120;3;1735.564304;200.0079342;1039.501312;102.9778407;0.959066032;0.945732301;0.06;0.13;0.04;7.60;0.14;0.13;0.04;0.14;0.05;0.14;0.05;12.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.60;1.00;4;9.45;2.25;1.426815722;1.29;12.2;2.9;Shengcong et al. (1983);590;;1.27;0.97;0.11;13.5;;;;;;;
