Case Number;Earthquake;Site;Liquefied?;Data Class;Critical Depth Upper Bound (ft);Critical Depth Lower Bound (ft);Critical Depth (ft);Critical Depth (m);s critical depth (ft);Water Depth (ft);s water table (ft);g1(pcf);sg1 (pcf);g2 (pcf);sg2 (pcf);sv (psf);s sv (psf);sv' (psf) ;s sv' (psf);rss';rd;s rd;a max (g);s a max;Magnitude for KMw;s MSF;CSRs'v,Mw;s CSR;CSRs'v=100kPa,Mw=7.5;s CSRN;D50 (mm) ;s D50;FC %;s FC %;Sampler (SS:standard sampler or SWL: sampler without liners);CS;Rod length;CR;Borehole diameter (mm);CB;"Energy Ratio (SH: Safety Hammer; DH:Donut Hammer or the percentage)";CE;Number of N values;N (mean);s N ;CN ;SPT Correction (Energy+Rod length) ;(N1) 60;s (N1)60 ;Reference;V*s,40ft (fps);;K?;KMw;CSRMw=7.5,s'v=100kPA;N1,60,CS;;;;;;;
74;1978 Miyagiken-Oki M=7.4;Yuriagekami-2;Yes;B;18.0;6.6;12.3;3.8;1.9;2.8;0.3;100;3;120;3;1420.603675;231.6546433;826.9028871;114.8848789;0.981644522;0.96858745;0.05;0.24;0.07;7.70;0.15;0.26;0.08;0.28;0.10;0.40;0.05;0.00;2.00;NA;1;Short Rod;0.88;99.00;1;0.60;1.00;4;8.75;3.35;1.59975381;1.40;12.3;4.7;Iwasaki (1978);620;;1.37;0.94;0.20;12.8;;;;;;;
77;1979 Imperial Valley ML=6.6;Heber Road A2;Yes;A;15.1;6.0;10.6;3.2;1.5;5.9;0.3;100;3;110;3;1103.018373;167.5640189;812.3097113;76.92156121;0.961092484;0.78;0.02;0.47;0.07;6.53;0.32;0.32;0.05;0.23;0.06;0.12;0.01;20.86;5.01;NA;1;Short Rod;0.81;99.00;1;0.68;1.13;9;2.35;1.48;1.614059665;1.49;3.5;2.2;Youd and Bennett  (1983), Benett et. al. (1979);*;;1.38;1.38;0.17;5.5;;;;;;;
80;1979 Imperial Valley ML=6.6;McKim Ranch A;Yes;B;13.0;5.0;9.0;2.7;1.3;5.0;0.3;110;3;120;3;1030;161.1769214;780.4;80.71157538;0.969328307;0.940170054;0.04;0.51;0.15;6.53;0.32;0.41;0.13;0.29;0.11;0.11;0.00;19.75;3.50;NA;1;Short Rod;0.79;99.00;1;0.68;1.13;11;5.40;2.58;1.646727647;1.47;7.9;3.8;Bennett et al. (1984);525;;1.40;1.38;0.21;10.0;;;;;;;
81;1979 Imperial Valley ML=6.6;Radio Tower B1;Yes;B;18.0;9.8;13.9;4.3;1.4;6.6;0.4;100;3;115;3;1505.085302;160.0609478;1044.455381;79.52043299;0.95024344;0.97;0.03;0.18;0.03;6.53;0.32;0.16;0.03;0.11;0.03;0.07;0.04;43.50;28.99;NA;1;Short Rod;0.86;99.00;1;0.68;1.13;2;4.45;3.38;1.423427859;1.39;6.2;4.7;Bennett et al. (1984);*;;1.27;1.38;0.09;9.6;;;;;;;
83;1979 Imperial Valley ML=6.6;River Park A;Yes;B;5.9;1.0;3.5;1.1;0.8;1.0;0.3;100;3;110;3;369.8031496;90.33458577;216.7511811;42.71767891;0.911135468;0.99;0.02;0.16;0.02;6.53;0.32;0.18;0.03;0.12;0.04;0.01;0.05;91.00;2.00;SS;1;Short Rod;0.66;99.00;1;0.68;1.13;2;2.65;2.26;2;1.50;4.0;3.4;Youd et al. (1983);*;;2.15;1.38;0.06;7.3;;;;;;;
86;1981 WestMorland ML=5.6;Kornbloom B;Yes;A;17.5;9.0;13.3;4.0;1.4;9.0;0.4;100;3;120;3;1410;172.7442112;1144.8;88.14957799;0.96272184;0.9;0.01;0.19;0.03;5.90;0.61;0.14;0.02;0.07;0.03;0.04;0.01;83.00;9.65;NA;1;Short Rod;0.85;99.00;1;0.68;1.13;14;5.40;3.12;1.359613903;1.31;7.1;4.1;Bennett et al. (1984);*;;1.23;1.75;0.06;10.6;;;;;;;
87;1981 Westmorland ML=5.6;Radio Tower B1;Yes;B;18.0;9.8;13.9;4.3;1.4;6.6;0.4;100;3;115;3;1505.085302;160.0609478;1044.455381;79.52043299;0.95024344;0.89;0.01;0.17;0.03;5.90;0.61;0.14;0.02;0.08;0.03;0.07;0.04;43.50;28.99;NA;1;Short Rod;0.86;99.00;1;0.68;1.13;2;4.45;3.38;1.423427859;1.39;6.2;4.7;Bennett et al. (1984);*;;1.27;1.75;0.06;9.6;;;;;;;
91;1981 WestMorland ML=5.6;Wildlife B;Yes;A;22.0;9.0;15.5;4.7;2.2;3.0;0.4;100;3;120;3;1800;262.9377303;1020;131.4629819;0.978730667;0.89;0.01;0.23;0.01;5.90;0.61;0.23;0.01;0.13;0.04;0.11;0.04;26.20;7.60;NA;1;Short Rod;0.88;99.00;1;0.68;1.13;7;7.85;3.48;1.440390742;1.44;11.3;5.0;Bennett et al. (1984);*;;1.28;1.75;0.11;14.1;;;;;;;
95;1983 Nihonkai-Chubu M=7.1;Takeda Elementary Sch.;Yes;B;21.3;8.2;14.8;4.5;2.2;1.1;0.4;100;3;115;3;1680.610236;254.903386;831.003937;123.2542008;0.971782492;0.851127976;0.06;0.12;0.04;7.10;0.11;0.13;0.04;0.12;0.04;0.24;0.05;0.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.73;1.22;3;7.85;0.85;1.595801491;1.76;13.8;1.5;Yasuda and Tohno (1988);470;;1.37;1.14;0.09;14.3;;;;;;;
97;1983 Nihonkai-Chubu M=7.7;Aomori Station;Yes;A;24.6;13.1;18.9;5.8;1.9;0.0;0.4;100;3;120;3;2263.779528;236.6328319;1086.614173;124.8005849;0.962205553;0.860219703;0.08;0.12;0.01;7.70;0.15;0.14;0.01;0.14;0.03;0.25;0.05;3.00;2.00;NA;1;Short Rod;0.94;99.00;1;0.73;1.22;3;9.00;0.87;1.395541399;1.60;14.4;1.4;Yasuda and Tohno (1988);520;;1.25;0.94;0.11;15.0;;;;;;;
98;1983 Nihonkai-Chubu M=7.7;Arayamotomachi;Yes;B;18.0;3.3;10.7;3.3;2.5;3.3;0.3;100;3;115;3;1177.001312;284.0439371;716.3713911;132.4440069;0.987460808;0.938669265;0.05;0.20;0.06;7.70;0.15;0.20;0.06;0.21;0.07;0.15;0.05;5.00;2.00;NA;1;Short Rod;0.86;99.00;1;0.73;1.22;5;4.40;2.68;1.718744377;1.79;7.9;4.8;Yasuda and Tohno (1988);520;;1.44;0.94;0.15;8.4;;;;;;;
99;1983 Nihonkai-Chubu M=7.7;Gaiko 1&2;Yes;B;59.1;9.8;34.4;10.5;8.2;4.8;0.3;110;3;120;3;4085.629921;988.3671209;2236.968504;481.2028604;0.994653784;0.622249588;0.13;0.21;0.03;7.70;0.15;0.16;0.04;0.17;0.05;-;-;5.50;6.88;NA;1;No Short Rod;1.00;99.00;1;0.73;1.22;19;5.80;1.77;0.972636297;1.18;6.9;2.1;Iai. Et. Al. (1989);480;;0.98;0.94;0.17;7.4;;;;;;;
100;1983 Nihonkai-Chubu M=7.7;Gaiko Wharf B-2;Yes;B;41.0;8.2;24.6;7.5;5.5;1.3;0.3;110;3;120;3;2939.96063;659.9071115;1484.370079;323.0468944;0.992264582;0.818204176;0.10;0.23;0.07;7.70;0.15;0.24;0.08;0.26;0.09;0.25;0.05;1.00;2.00;NA;1;Short Rod;0.99;99.00;1;0.73;1.22;7;7.80;1.88;1.194013705;1.44;11.2;2.7;Hamada (1992);550;;1.13;0.94;0.23;11.7;;;;;;;
102;1983 Nihonkai-Chubu M=7.7;Nakajima No. 1 (5);Yes;B;42.7;6.6;24.6;7.5;6.0;5.8;0.3;110;3;120;3;2895.013123;724.2058754;1719.895013;351.8113759;0.99500764;0.789773965;0.10;0.21;0.03;7.70;0.15;0.18;0.04;0.19;0.05;-;-;14.60;17.44;NA;1;Short Rod;0.99;99.00;1;0.73;1.22;7;6.50;2.25;1.109250003;1.33;8.7;3.0;Iai. et. al. (1989);525;;1.07;0.94;0.18;10.2;;;;;;;
103;1983 Nihonkai-Chubu M=7.7;Nakajima No. 2 (1);Yes;A;29.5;6.6;18.0;5.5;3.8;4.8;0.3;120;3;125;3;2231.791339;480.3279039;1402.65748;243.9312993;0.993538767;0.903658566;0.08;0.21;0.03;7.70;0.15;0.19;0.03;0.21;0.05;-;-;2.00;1.00;NA;1;Short Rod;0.94;99.00;1;0.73;1.22;3;4.70;1.43;1.228300394;1.40;6.6;2.0;Iai. Et. Al. (1989);565;;1.15;0.94;0.18;7.1;;;;;;;
104;1983 Nihonkai-Chubu M=7.7;Nakajima No. 2 (2);Yes;A;18.7;6.6;12.6;3.9;2.0;4.9;0.3;120;3;120;3;1515.748031;244.3279269;1034.645669;121.1771761;0.981042215;0.961012969;0.06;0.20;0.03;7.70;0.15;0.19;0.03;0.20;0.05;-;-;8.00;5.66;NA;1;Short Rod;0.88;99.00;1;0.73;1.22;4;5.90;4.04;1.430159862;1.53;9.0;6.2;Iai. Et. Al. (1989);600;;1.27;0.94;0.16;9.9;;;;;;;
105;1983 Nihonkai-Chubu M=7.7;Nakajima No. 3 (3);Yes;A;12.5;3.3;7.9;2.4;1.5;5.2;0.3;100;3;110;3;814.3044619;169.3519355;646.4304462;76.585614;0.966369556;0.951969233;0.04;0.21;0.03;7.70;0.15;0.16;0.03;0.17;0.04;-;-;3.00;2.00;NA;1;Short Rod;0.82;99.00;1;0.73;1.22;3;3.00;0.11;1.809337172;1.80;5.4;0.2;Iai. Et. Al. (1989);500;;1.49;0.94;0.12;5.9;;;;;;;
106;1983 Nihonkai-Chubu M=7.7;Nakajima No. 3 (4);Yes;A;36.7;5.9;21.3;6.5;5.1;5.4;0.3;110;3;120;3;2504.92126;618.862779;1512.007874;300.737266;0.994580027;0.857399314;0.09;0.20;0.03;7.70;0.15;0.19;0.04;0.20;0.05;-;-;2.00;1.00;NA;1;Short Rod;0.96;99.00;1;0.73;1.22;7;7.80;3.03;1.183050765;1.39;10.8;4.2;Iai. Et. Al. (1989);550;;1.12;0.94;0.18;11.4;;;;;;;
107;1983 Nihonkai-Chubu M=7.7;Noshiro Section N-7;Yes;B;16.4;6.6;11.5;3.5;1.6;5.7;0.3;110;3;120;3;1320.538058;198.3744894;962.2703412;98.83570619;0.976525877;0.950532574;0.05;0.25;0.08;7.70;0.15;0.21;0.07;0.23;0.08;0.25;0.05;1.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.73;1.22;4;9.80;2.11;1.482968264;1.57;15.3;3.3;Hamada (1992);560;;1.30;0.94;0.17;15.9;;;;;;;
108;1983 Nihonkai-Chubu M=7.7;Ohama No. 2 (2);Yes;A;37.1;7.2;22.1;6.8;5.0;2.4;0.3;100;3;110;3;2412.401575;550.61556;1177.913386;244.7855979;0.988025517;0.728498124;0.09;0.20;0.03;7.70;0.15;0.20;0.04;0.21;0.05;-;-;1.10;0.55;NA;1;Short Rod;0.97;99.00;1;0.73;1.22;6;4.60;2.91;1.340367005;1.58;7.3;4.6;Iai. Et. Al. (1989);450;;1.22;0.94;0.17;7.8;;;;;;;
110;1983 Nihonkai-Chubu M=7.7;Takeda Elementary Sch.;Yes;B;21.3;8.2;14.8;4.5;2.2;1.1;0.4;100;3;115;3;1680.610236;254.903386;831.003937;123.2542008;0.971782492;0.853546923;0.06;0.28;0.08;7.70;0.15;0.31;0.10;0.33;0.12;0.24;0.05;0.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.73;1.22;3;7.85;0.85;1.595801491;1.76;13.8;1.5;Yasuda and Tohno (1988);470;;1.37;0.94;0.24;14.3;;;;;;;
122;1987 Superstition Hills Mw=6.6;Wildlife B;Yes;A;22.0;9.0;15.5;4.7;2.2;3.0;0.4;100;3;120;3;1800;262.9377303;1020;131.4629819;0.978730667;0.82;0.04;0.20;0.03;6.54;0.31;0.19;0.03;0.14;0.04;0.11;0.04;26.20;7.60;NA;1;Short Rod;0.88;99.00;1;0.68;1.13;7;7.85;3.48;1.440390742;1.44;11.3;5.0;Bennett et al. (1984);*;;1.28;1.37;0.11;14.1;;;;;;;
124;1989 Loma Prieta Mw=7;Farris Farm ;Yes;B;23.0;16.4;19.7;6.0;1.1;14.8;0.3;100;3;120;3;2066.929134;139.4200435;1759.84252;79.4323498;0.936393603;0.95;0.02;0.37;0.06;6.93;0.13;0.27;0.04;0.22;0.04;0.20;0.05;8.00;2.00;NA;1;Short Rod;0.92;0.00;1;0.68;1.13;1;9.00;1.74;1.096588038;1.15;10.3;2.0;Holzer et al. (1994);*;;1.06;1.20;0.21;11.2;;;;;;;
142;1989 Loma Prieta Mw=7;Marine Laboratory UC-B1;Yes;A;18.0;7.9;13.0;4.0;1.7;7.9;0.3;110;3;125;3;1501.804462;213.7927475;1184.481627;110.6931988;0.980792227;0.99;0.01;0.24;0.04;6.93;0.13;0.20;0.03;0.16;0.03;0.80;0.05;3.00;2.00;NA;1;Short Rod;0.85;0.00;1;0.60;1.00;4;10.30;0.97;1.336645507;1.13;11.7;1.1;Boulager et al. (1997);*;;1.22;1.20;0.13;12.2;;;;;;;
143;1989 Loma Prieta Mw=7;Marine Laboratory UC-B2;Yes;B;13.0;10.0;11.5;3.5;0.5;8.2;0.3;110;3;125;3;1314.468504;68.04303988;1108.679528;43.41950801;0.878560585;0.99;0.01;0.26;0.04;6.93;0.13;0.20;0.03;0.16;0.03;0.50;0.05;3.00;2.00;NA;1;Short Rod;0.83;0.00;1;0.60;1.00;1;13.00;1.75;1.381584312;1.14;14.9;2.0;Boulanger et al. (1997);*;;1.24;1.20;0.13;15.4;;;;;;;
144;1989 Loma Prieta Mw=7;Marine Laboratory_F1-F7;Yes;B;18.5;11.5;15.0;4.6;1.2;5.0;0.2;120;3;125;3;1850;149.642653;1226;80.82697494;0.973053193;0.990444523;0.01;0.25;0.08;6.93;0.13;0.24;0.07;0.20;0.06;0.43;0.08;3.00;1.41;NA;1;Short Rod;0.87;50.00;1;0.75;1.25;11;13.80;4.67;1.313817893;1.44;19.8;6.7;Boulanger et al (1997);780;;1.20;1.20;0.17;20.4;;;;;;;
146;1989 Loma Prieta Mw=7;Miller Farm ;Yes;A;26.2;13.1;19.7;6.0;2.2;13.1;0.4;110;3;125;3;2263.779528;276.9737249;1854.330709;144.7754254;0.979697892;0.9;0.02;0.42;0.06;6.93;0.13;0.30;0.05;0.25;0.05;0.16;0.05;22.00;2.00;NA;1;Short Rod;0.92;0.00;1;0.68;1.13;3;7.95;3.40;1.068284217;1.12;8.9;3.8;Holzer et al. (1994);*;;1.05;1.20;0.24;11.2;;;;;;;
129;1989 Loma Prieta Mw=7;Miller Farm CMF3;Yes;A;24.6;18.9;21.7;6.6;1.0;18.7;0.3;110;3;125;3;2436.433727;132.5070262;2247.063648;83.79082268;0.93053115;0.83;0.02;0.46;0.07;6.93;0.13;0.27;0.04;0.22;0.04;0.12;0.03;27.33;11.93;SS;1;Short Rod;0.94;101.60;1;0.68;1.13;3;10.30;3.66;0.970449008;1.04;10.7;3.8;Bennett and Tinsley (1995);*;;0.98;1.20;0.23;13.6;;;;;;;
130;1989 Loma Prieta Mw=7;Miller Farm CMF5;Yes;B;27.9;18.0;23.0;7.0;1.6;15.4;0.4;120;3;125;3;2793.635171;211.4285467;2322.769029;116.62481;0.960108831;0.9;0.02;0.41;0.06;6.93;0.13;0.29;0.04;0.24;0.04;0.19;0.05;13.00;2.00;SS;1;Short Rod;0.95;101.60;1;0.68;1.13;1;20.00;1.94;0.954503211;1.03;20.6;2.0;Bennett and Tinsley (1995);*;;0.97;1.20;0.25;22.2;;;;;;;
131;1989 Loma Prieta Mw=7;Miller Farm CMF8;Yes;B;26.2;16.4;21.3;6.5;1.6;16.1;0.3;100;3;120;3;2237.532808;203.3717075;1909.973753;107.9990285;0.960560106;0.73;0.01;0.46;0.07;6.93;0.13;0.26;0.04;0.21;0.04;0.20;0.08;15.50;2.12;SS;1;Short Rod;0.94;101.60;1;0.68;1.13;2;8.95;0.89;1.0526081;1.12;10.0;1.0;Bennett and Tinsley (1995);*;;1.04;1.20;0.21;11.7;;;;;;;
132;1989 Loma Prieta Mw=7;POO7-2;Yes;A;22.3;18.0;20.2;6.2;0.7;9.8;0.3;120;3;125;3;2472.933071;98.64468508;1828.051181;64.10788867;0.86;0.86;0.02;0.22;0.03;6.93;0.13;0.17;0.03;0.14;0.03;0.30;0.05;3.00;2.00;SWL;1.1;Short Rod;0.93;0.00;1;0.55;0.92;3;12.70;3.08;1.075935487;1.01;12.8;3.1;Mitchell et al. (1994);*;;1.05;1.20;0.13;13.3;;;;;;;
133;1989 Loma Prieta Mw=7;POO7-3;Yes;A;23.0;16.4;19.7;6.0;1.1;9.8;0.3;120;3;125;3;2411.417323;142.9452621;1797.244094;82.01877737;0.944759534;0.83;0.02;0.22;0.03;6.93;0.13;0.16;0.02;0.13;0.02;0.32;0.05;5.00;2.00;SWL;1.1;Short Rod;0.92;0.00;1;0.55;0.92;3;16.20;6.43;1.085117768;1.01;16.4;6.5;Mitchell et al. (1994);*;;1.06;1.20;0.13;17.0;;;;;;;
134;1989 Loma Prieta Mw=7;POR-2&3&4;Yes;A;19.0;13.1;16.1;4.9;1.0;11.5;0.4;100;3;110;3;1651.955381;114.0130228;1366.241995;63.15280281;0.876980892;0.78;0.02;0.15;0.02;6.93;0.13;0.09;0.01;0.08;0.01;0.09;0.05;50.00;2.00;SWL;1.1;Short Rod;0.89;0.00;1;0.55;0.92;6;3.15;0.99;1.244562159;1.11;3.5;1.1;Mitchell et al. (1994);*;;1.16;1.20;0.07;6.8;;;;;;;
135;1989 Loma Prieta Mw=7;Sandholdt UC-B10;Yes;A;13.0;8.0;10.5;3.2;0.8;5.6;0.3;110;3;120;3;1203.897638;102.5059065;898.776378;55.22299578;0.927679688;0.99;0.01;0.26;0.04;6.93;0.13;0.22;0.03;0.18;0.03;0.80;0.05;2.00;2.00;NA;1;Short Rod;0.81;0.00;1;0.75;1.25;3;9.15;3.78;1.534456504;1.56;14.3;5.9;Boulanger et al. (1997);*;;1.33;1.20;0.14;14.8;;;;;;;
136;1989 Loma Prieta Mw=7;SFOBB-1&2;Yes;A;23.0;18.0;20.5;6.3;0.8;9.8;0.3;120;3;125;3;2513.94357;111.3957012;1848.589239;69.48361841;0.92162188;0.79;0.01;0.27;0.04;6.93;0.13;0.19;0.03;0.15;0.03;0.28;0.05;8.00;2.00;SWL;1.2;Short Rod;0.93;0.00;1;0.55;0.92;4;7.50;2.01;1.069941904;1.10;8.2;2.2;Mitchell et al. (1994);*;;1.05;1.20;0.15;9.0;;;;;;;
137;1989 Loma Prieta Mw=7;State Beach UC-B1;Yes;A;12.0;5.9;9.0;2.7;1.0;5.9;0.3;110;3;125;3;1030.511811;128.6028689;840.3637795;68.13818799;0.959383573;0.95;0.01;0.29;0.04;6.93;0.13;0.22;0.03;0.18;0.03;0.26;0.05;1.67;0.58;NA;1;Short Rod;0.79;0.00;1;0.75;1.25;3;5.05;0.90;1.586889712;1.56;7.9;1.4;Boulanger et al. (1997);*;;1.36;1.20;0.13;8.4;;;;;;;
138;1989 Loma Prieta Mw=7;State Beach UC-B2;Yes;A;22.0;9.0;15.5;4.7;2.2;9.0;0.3;120;3;125;3;1892.5;272.8776181;1486.9;140.7202171;0.984844817;0.99;0.01;0.24;0.04;6.93;0.13;0.20;0.03;0.16;0.03;0.40;0.05;1.00;2.00;NA;1;Short Rod;0.88;0.00;1;0.75;1.25;6;13.25;1.83;1.192997481;1.31;17.4;2.4;Boulanger et al. (1997);*;;1.13;1.20;0.15;18.0;;;;;;;
139;1989 Loma Prieta Mw=7;Treasure Island;Yes;A;29.5;4.9;17.2;5.3;4.1;4.9;0.2;100;3;115;3;1906.988189;473.2984858;1139.271654;219.4627216;0.99449971;0.88;0.01;0.18;0.03;6.93;0.13;0.17;0.03;0.14;0.03;0.17;0.05;20.00;2.00;SWL;1.1;Short Rod;0.90;100.00;1;0.68;1.13;13;5.05;3.01;1.362908692;1.53;7.7;4.6;De Alba et al., Youd and Shakal (1994);*;;1.23;1.20;0.12;9.7;;;;;;;
140;1989 Loma Prieta Mw=7;WoodMarine UC-B4;Yes;A;8.2;3.3;5.7;1.8;0.8;3.3;0.3;110;3;120;3;656.167979;99.23651982;502.6246719;51.28830621;0.93409081;0.99;0.01;0.25;0.04;6.93;0.13;0.21;0.03;0.17;0.03;0.10;0.05;35.00;2.00;NA;1;Short Rod;0.72;0.00;1;0.60;1.00;3;5.75;0.21;2;1.45;8.3;0.3;Boulanger et al. (1997);*;;1.62;1.20;0.11;11.9;;;;;;;
148;1990 Luzon Mw=7.6;Perez Blv. B-11;Yes;B;34.4;13.1;23.8;7.3;3.6;7.5;0.3;100;3;125;3;2784.612861;447.5795798;1771.227034;229.1644519;0.991060887;0.887393743;0.10;0.25;0.08;7.70;0.15;0.23;0.07;0.24;0.09;0.20;0.05;19.00;2.00;NA;1;Short Rod;0.98;99.00;1;0.39;0.65;5;19.90;4.01;1.093058211;0.70;13.9;2.8;Wakamatsu (1992);610;;1.06;0.94;0.23;16.0;;;;;;;
149;1993 Kushiro-Oki Mw=8;Kushiro Port Seismo St.;Yes;A;18.4;5.2;11.8;3.6;2.2;6.6;0.3;110;3;125;3;1377.952756;274.5999439;1050.393701;139.9460663;0.988987998;0.992568634;0.05;0.40;0.06;7.60;0.14;0.34;0.06;0.35;0.08;0.35;0.05;5.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.73;1.22;3;16.90;1.99;1.419398536;1.51;25.4;3.0;Iai et al. (1994);760;;1.27;0.97;0.28;26.1;;;;;;;
150;1993 Kushiro-Oki Mw=8;Kushiro Port Site A;Yes;A;21.3;13.1;17.2;5.3;1.4;6.6;0.3;105;3;125;3;2021.817585;175.0591921;1356.463255;94.31683419;0.966461403;0.961549322;0.07;0.40;0.06;7.60;0.14;0.37;0.06;0.39;0.09;0.34;0.05;2.00;2.00;NA;1;Short Rod;0.93;99.00;1;0.73;1.22;3;11.70;2.90;1.249040126;1.41;16.5;4.1;Iai et al. (1994);670;;1.16;0.97;0.33;17.1;;;;;;;
152;1994 Northridge Mw=6.7;Balboa Blv. Unit C;Yes;B;32.0;27.1;29.5;9.0;0.8;23.6;0.4;110;3;125;3;3336.614173;126.0298256;2968.110236;91.27809771;0.911558318;0.71;0.01;0.69;0.10;6.70;0.24;0.36;0.05;0.27;0.06;0.10;0.04;48.00;15.04;NA;1;Short Rod;1.00;99.00;1;0.68;1.13;1;19.90;4.18;0.844384775;0.96;19.0;4.0;Bennett et al.(1998);*;;0.89;1.30;0.31;23.3;;;;;;;
153;1994 Northridge Mw=6.7;Potrero Canyon C1;Yes;B;23.0;19.7;21.3;6.5;0.5;10.8;0.4;110;3;125;3;2503.28084;82.13629808;1848.16273;59.1092246;0.885585882;0.793574617;0.09;0.40;0.12;6.70;0.24;0.28;0.09;0.21;0.08;0.10;0.01;44.50;2.12;NA;1;Short Rod;0.94;99.00;1;0.68;1.13;2;9.50;0.61;1.070065355;1.14;10.8;0.7;Bennett et al. (1998) ;525;;1.05;1.30;0.20;14.6;;;;;;;
154;1994 Northridge Mw=6.7;Wynne Ave. Unit C1;Yes;A;22.1;18.9;20.5;6.3;0.5;13.7;1.5;110;3;125;3;2358.103675;85.52381134;1931.594488;93.10127165;0.343500047;0.86;0.04;0.54;0.08;6.70;0.24;0.37;0.06;0.28;0.07;0.11;0.04;42.40;8.88;NA;1;Short Rod;0.93;99.00;1;0.68;1.13;3;10.30;1.54;1.046700493;1.11;11.4;1.7;Bennett et al. (1998) ;*;;1.03;1.30;0.27;15.2;;;;;;;
158;1995 Hyogoken-Nambu ML=7.2;Ashiyama C-D-E (Marine Sand);Yes;B;32.8;24.6;28.7;8.8;1.4;11.5;0.2;110;3;125;3;3416.174541;181.8265159;2341.371391;105.9741363;0.958211707;0.740759103;0.11;0.40;0.08;6.90;0.15;0.28;0.07;0.23;0.06;0.19;0.05;2.00;2.00;NA;1;Short Rod;1.00;99.00;1;0.73;1.22;8;10.90;2.59;0.950703852;1.16;12.6;3.0;Shibata et al. (1996);560;;0.97;1.21;0.24;13.2;;;;;;;
157;1995 Hyogoken-Nambu ML=7.2;Ashiyama C-D-E (Mountain Sand 2);Yes;B;49.2;36.1;42.7;13.0;2.2;11.5;0.2;110;3;125;3;5159.120735;291.0054085;3214.238845;169.491744;0.959961574;0.588537277;0.15;0.40;0.08;6.90;0.15;0.25;0.08;0.20;0.07;0.13;0.05;18.00;2.00;NA;1;No Short Rod;1.00;99.00;1;0.73;1.22;6;5.70;2.73;0.811411829;0.99;5.6;2.7;Shibata et al. (1996);560;;0.87;1.21;0.23;7.4;;;;;;;
169;1995 Hyogoken-Nambu ML=7.2;Kobe No 11;Yes;B;32.0;12.3;22.1;6.8;3.3;4.8;0.3;110;3;120;3;2609.908136;397.4093787;1524.868766;197.1905021;0.986123181;0.671508767;0.09;0.50;0.10;6.90;0.15;0.37;0.09;0.30;0.08;0.00;0.00;5.00;2.00;NA;1;Short Rod;0.97;99.00;1;0.73;1.22;9;5.55;1.58;1.178051218;1.39;7.7;2.2;Kobe City Office (1999);450;;1.12;1.21;0.28;8.2;;;;;;;
171;1995 Hyogoken-Nambu ML=7.2;Kobe No 13;Yes;B;26.2;16.4;21.3;6.5;1.6;7.5;0.3;125;3;120;3;2596.784777;202.4195536;1736.942257;107.5091366;0.95817305;0.866450656;0.09;0.50;0.10;6.90;0.15;0.42;0.09;0.34;0.09;0.00;0.00;15.00;10.00;NA;1;Short Rod;0.96;99.00;1;0.73;1.22;4;9.30;1.08;1.103793206;1.29;12.0;1.4;Kobe City Office (1999);590;;1.07;1.21;0.32;13.7;;;;;;;
173;1995 Hyogoken-Nambu ML=7.2;Kobe No 15;Yes;B;22.6;15.3;18.9;5.8;1.2;12.0;0.3;100;3;125;3;2068.979659;159.4850845;1633.940289;88.23655068;0.958501376;0.864208644;0.08;0.50;0.10;6.90;0.15;0.36;0.08;0.29;0.07;0.00;0.00;4.67;4.51;NA;1;Short Rod;0.94;99.00;1;0.73;1.22;3;15.00;3.06;1.138052551;1.31;19.6;4.0;Kobe City Office (1999);560;;1.09;1.21;0.27;20.2;;;;;;;
175;1995 Hyogoken-Nambu ML=7.2;Kobe No 17;Yes;B;19.7;9.8;14.8;4.5;1.6;2.5;0.3;110;3;120;3;1747.047244;200.4392108;979.3307087;102.9171315;0.968056446;0.950808268;0.06;0.50;0.10;6.90;0.15;0.55;0.12;0.45;0.11;0.00;0.00;5.00;2.00;NA;1;Short Rod;0.90;99.00;1;0.73;1.22;5;13.10;4.39;1.469994537;1.62;21.2;7.1;Kobe City Office (1999);630;;1.30;1.21;0.35;21.8;;;;;;;
182;1995 Hyogoken-Nambu ML=7.2;Kobe No 24;Yes;B;13.1;9.8;11.5;3.5;0.5;7.7;0.3;115;3;120;3;1339.402887;70.50478613;1103.969816;44.17738205;0.86812112;0.983682087;0.05;0.50;0.10;6.90;0.15;0.39;0.08;0.31;0.08;0.00;0.00;0.00;2.00;NA;1;Short Rod;0.87;99.00;1;0.73;1.22;2;16.95;0.96;1.384528205;1.46;24.8;1.4;Kobe City Office (1999);700;;1.24;1.21;0.26;25.4;;;;;;;
186;1995 Hyogoken-Nambu ML=7.2;Kobe No 28;Yes;B;16.4;9.8;13.1;4.0;1.1;5.7;0.3;110;3;125;3;1554.2979;139.6234415;1093.667979;75.3400113;0.958410594;0.961389612;0.06;0.40;0.08;6.90;0.15;0.36;0.07;0.29;0.07;0.00;0.00;8.00;2.00;NA;1;Short Rod;0.89;99.00;1;0.73;1.22;3;14.30;3.73;1.391033723;1.50;21.5;5.6;Kobe City Office (1999);630;;1.25;1.21;0.23;22.5;;;;;;;
